checkpoint,condition,total,null,null_rate,flag
Base,v5_1_single_sys_quote,100,0,0.0,
Base,v5_1_single_sys_report,100,0,0.0,
Base,v5_1_multi_sys_quote,100,0,0.0,
Base,v5_1_multi_sys_report,100,0,0.0,
SFT,v5_1_single_sys_quote,100,4,0.04,
SFT,v5_1_single_sys_report,100,4,0.04,
SFT,v5_1_multi_sys_quote,100,0,0.0,
SFT,v5_1_multi_sys_report,100,0,0.0,
DPO,v5_1_single_sys_quote,100,3,0.03,
DPO,v5_1_single_sys_report,100,3,0.03,
DPO,v5_1_multi_sys_quote,100,31,0.31,>20%
DPO,v5_1_multi_sys_report,100,8,0.08,
Instruct,v5_1_single_sys_quote,100,18,0.18,
Instruct,v5_1_single_sys_report,100,9,0.09,
Instruct,v5_1_multi_sys_quote,100,40,0.4,>20%
Instruct,v5_1_multi_sys_report,100,18,0.18,
