pair,scenario,condition,correct,final_choice,n_turns
gemini-3.1-pro-preview × gemini-3.1-pro-preview,apron_hook_drawer,asym_A1_expert,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,badge_desk_hook,asym_A1_expert,0,hook,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,ball_yard_garage,asym_A1_expert,0,yard,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,belt_closet_chair,asym_A1_expert,0,closet,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,binder_shelf_desk,asym_A1_expert,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,blanket_bed_chair,asym_A1_expert,0,chair,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,book_shelf_bag,asym_A1_expert,0,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bottle_fridge_counter,asym_A1_expert,0,fridge,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bowl_table_counter,asym_A1_expert,0,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,broom_closet_corner,asym_A1_expert,0,corner,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,brush_drawer_counter,asym_A1_expert,0,counter,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,bulb_box_shelf,asym_A1_expert,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cable_desk_floor,asym_A1_expert,1,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,camera_bag_shelf,asym_A1_expert,0,bag,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,candle_mantle_table,asym_A1_expert,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chain_hook_box,asym_A1_expert,0,box,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,chalk_tray_box,asym_A1_expert,0,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,charger_desk_bed,asym_A1_expert,0,bed,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clip_desk_tray,asym_A1_expert,0,tray,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,clipboard_shelf_desk,asym_A1_expert,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cloth_rack_basket,asym_A1_expert,0,rack,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,coin_jar_pocket,asym_A1_expert,0,jar,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,comb_drawer_shelf,asym_A1_expert,0,shelf,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cord_desk_basket,asym_A1_expert,0,desk,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,cup_shelf_table,asym_A1_expert,0,table,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,dice_cup_table,asym_A1_expert,0,cup,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,drill_bench_case,asym_A1_expert,0,case,2
gemini-3.1-pro-preview × gemini-3.1-pro-preview,fan_shelf_floor,asym_A1_expert,0,floor,2
