checkpoint,condition,total,null,null_rate,flag
Base,v5_0_single_sys_quote,200,0,0.0,
Base,v5_0_single_sys_report,200,0,0.0,
Base,v5_0_multi_sys_quote,200,0,0.0,
Base,v5_0_multi_sys_report,200,5,0.025,
SFT,v5_0_single_sys_quote,200,2,0.01,
SFT,v5_0_single_sys_report,200,1,0.005,
SFT,v5_0_multi_sys_quote,200,8,0.04,
SFT,v5_0_multi_sys_report,200,3,0.015,
DPO,v5_0_single_sys_quote,200,1,0.005,
DPO,v5_0_single_sys_report,200,0,0.0,
DPO,v5_0_multi_sys_quote,200,18,0.09,
DPO,v5_0_multi_sys_report,200,8,0.04,
Instruct,v5_0_single_sys_quote,200,2,0.01,
Instruct,v5_0_single_sys_report,200,1,0.005,
Instruct,v5_0_multi_sys_quote,200,18,0.09,
Instruct,v5_0_multi_sys_report,200,4,0.02,
