checkpoint,condition,total,null,null_rate,flag
Base,v5_0_single_sys_quote,200,0,0.0,
Base,v5_0_single_sys_report,200,0,0.0,
Base,v5_0_multi_sys_quote,200,0,0.0,
Base,v5_0_multi_sys_report,200,0,0.0,
SFT,v5_0_single_sys_quote,200,6,0.03,
SFT,v5_0_single_sys_report,200,0,0.0,
SFT,v5_0_multi_sys_quote,200,23,0.115,
SFT,v5_0_multi_sys_report,200,15,0.075,
DPO,v5_0_single_sys_quote,200,0,0.0,
DPO,v5_0_single_sys_report,200,0,0.0,
DPO,v5_0_multi_sys_quote,200,30,0.15,
DPO,v5_0_multi_sys_report,200,13,0.065,
RLVR,v5_0_single_sys_quote,200,0,0.0,
RLVR,v5_0_single_sys_report,200,0,0.0,
RLVR,v5_0_multi_sys_quote,200,20,0.1,
RLVR,v5_0_multi_sys_report,200,4,0.02,
