checkpoint,condition,total,null,null_rate,flag
Base,v4_5_single_sys_quote,520,2,0.0038461538461538464,
Base,v4_5_single_sys_report,520,2,0.0038461538461538464,
Base,v4_5_single_uo_quote,520,2,0.0038461538461538464,
Base,v4_5_single_uo_report,520,2,0.0038461538461538464,
Base,v4_5_multi_sys_quote,520,0,0.0,
Base,v4_5_multi_sys_report,520,0,0.0,
Base,v4_5_multi_uo_quote,520,0,0.0,
Base,v4_5_multi_uo_report,520,0,0.0,
SFT,v4_5_single_sys_quote,520,0,0.0,
SFT,v4_5_single_sys_report,520,0,0.0,
SFT,v4_5_single_uo_quote,520,0,0.0,
SFT,v4_5_single_uo_report,520,0,0.0,
SFT,v4_5_multi_sys_quote,520,0,0.0,
SFT,v4_5_multi_sys_report,520,0,0.0,
SFT,v4_5_multi_uo_quote,520,3,0.0057692307692307696,
SFT,v4_5_multi_uo_report,520,5,0.009615384615384616,
DPO,v4_5_single_sys_quote,520,2,0.0038461538461538464,
DPO,v4_5_single_sys_report,520,2,0.0038461538461538464,
DPO,v4_5_single_uo_quote,520,0,0.0,
DPO,v4_5_single_uo_report,520,0,0.0,
DPO,v4_5_multi_sys_quote,520,1,0.0019230769230769232,
DPO,v4_5_multi_sys_report,520,0,0.0,
DPO,v4_5_multi_uo_quote,520,8,0.015384615384615385,
DPO,v4_5_multi_uo_report,520,4,0.007692307692307693,
Instruct,v4_5_single_sys_quote,520,0,0.0,
Instruct,v4_5_single_sys_report,520,0,0.0,
Instruct,v4_5_single_uo_quote,520,0,0.0,
Instruct,v4_5_single_uo_report,520,0,0.0,
Instruct,v4_5_multi_sys_quote,520,1,0.0019230769230769232,
Instruct,v4_5_multi_sys_report,520,3,0.0057692307692307696,
Instruct,v4_5_multi_uo_quote,520,4,0.007692307692307693,
Instruct,v4_5_multi_uo_report,520,4,0.007692307692307693,
