checkpoint,condition,total,null,null_rate,flag
Base,v5_0_jing_strong_cue_single_sys_quote,20,0,0.0,
Base,v5_0_jing_strong_cue_single_sys_report,20,0,0.0,
Base,v5_0_jing_strong_cue_multi_sys_quote,20,0,0.0,
Base,v5_0_jing_strong_cue_multi_sys_report,20,0,0.0,
SFT,v5_0_jing_strong_cue_single_sys_quote,20,0,0.0,
SFT,v5_0_jing_strong_cue_single_sys_report,20,0,0.0,
SFT,v5_0_jing_strong_cue_multi_sys_quote,20,0,0.0,
SFT,v5_0_jing_strong_cue_multi_sys_report,20,0,0.0,
DPO,v5_0_jing_strong_cue_single_sys_quote,20,2,0.1,
DPO,v5_0_jing_strong_cue_single_sys_report,20,1,0.05,
DPO,v5_0_jing_strong_cue_multi_sys_quote,20,6,0.3,>20%
DPO,v5_0_jing_strong_cue_multi_sys_report,20,6,0.3,>20%
RLVR,v5_0_jing_strong_cue_single_sys_quote,20,1,0.05,
RLVR,v5_0_jing_strong_cue_single_sys_report,20,1,0.05,
RLVR,v5_0_jing_strong_cue_multi_sys_quote,20,3,0.15,
RLVR,v5_0_jing_strong_cue_multi_sys_report,20,4,0.2,
