case_type,pair,model_1,model_2,scenario,episode_idx,n_turns,final_choice,has_leave,has_prompt_leak,has_repetition,has_max_turns,has_guide_leave,has_guide_goal_fail
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,flashlight_drawer_shelf,101,2,drawer,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,scissors_cabinet_desk,105,2,desk,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,scissors_cabinet_desk,107,4,desk,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,toy_bin_rug,111,2,bin,1,0,0,0,0,0
mutual_incoh_fail,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,toy_bin_rug,113,2,rug,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,watch_dresser_nightstand,117,2,nightstand,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,watch_dresser_nightstand,119,2,nightstand,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,wallet_desk_drawer,11,2,drawer,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,candle_mantle_table,123,2,mantle,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,candle_mantle_table,125,2,mantle,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,fork_drawer_counter,129,2,counter,1,0,0,0,0,0
mutual_incoh_fail,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,fork_drawer_counter,131,2,drawer,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,ticket_pocket_bag,135,2,pocket,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,ticket_pocket_bag,137,2,pocket,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,map_table_wall,141,2,wall,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,map_table_wall,143,2,wall,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,broom_closet_corner,147,2,closet,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,broom_closet_corner,149,2,closet,1,0,0,0,0,0
conflict_coop_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,camera_bag_shelf,153,2,shelf,1,0,0,0,0,0
mutual_incoh_success,gemini-3.1-pro-preview x gemini-3.1-pro-preview,gemini-3.1-pro-preview,gemini-3.1-pro-preview,camera_bag_shelf,155,2,shelf,1,0,0,0,0,0
